Artist,Song,Year,Genre,Duration_mins,Popularity,Danceability,Valence
Jennifer Lopez,Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,2002,"hip hop, pop, R&B",3.13,70,0.845,0.96
Black Eyed Peas,Shut Up,2003,"hip hop, pop",4.94,56,0.81,0.561
Benny Benassi,Satisfaction (Isak Original Extended) - Benny Benassi Presents The Biz,2003,"pop, Dance/Electronic",4.76,66,0.793,0.339
Panjabi MC,Mundian to Bach Ke,2003,"World/Traditional, hip hop",4.08,61,0.778,0.942
Mis-Teeq,Scandalous - U.S. Radio Edit,2004,"pop, Dance/Electronic",3.98,59,0.734,0.651
JAY-Z,03' Bonnie & Clyde,2002,hip hop,3.43,71,0.759,0.327
50 Cent,P.I.M.P.,2003,"hip hop, pop",4.16,76,0.712,0.848
Jamelia,Superstar,2003,pop,3.59,69,0.801,0.824
Linkin Park,Faint,2003,"rock, metal",2.71,72,0.554,0.594
DMX,X Gon' Give It To Ya,2007,"hip hop, pop",3.63,70,0.761,0.673
Evanescence,Bring Me To Life,2003,metal,3.93,79,0.331,0.296
Sugababes,Hole In The Head,2003,"pop, R&B",3.64,57,0.785,0.962
Craig David,Rise & Fall (feat. Sting),2002,"hip hop, pop, R&B",4.79,59,0.405,0.808
Three Days Grace,I Hate Everything About You,2003,"rock, metal",3.86,72,0.498,0.453
Lil Jon & The East Side Boyz,Get Low,2002,"hip hop, pop",5.41,47,0.78,0.12
B2K,"Bump, Bump, Bump (feat. P. Diddy)",2003,"hip hop, pop, R&B",4.71,62,0.835,0.889
Baby Bash,Suga Suga,2003,"hip hop, pop, R&B, latin",3.98,73,0.662,0.535
Aaliyah,Miss You - Main,2002,"hip hop, pop, R&B",4.09,36,0.602,0.511
Britney Spears,Me Against the Music (feat. Madonna) - LP Version / Video Mix,2003,pop,3.73,59,0.804,0.85
Blue,Sorry Seems To Be The Hardest Word,2004,pop,3.5,57,0.564,0.442
Delta Goodrem,Lost Without You,2003,pop,4.14,54,0.581,0.514
Justin Timberlake,Rock Your Body,2002,pop,4.45,76,0.892,0.817
The White Stripes,Seven Nation Army,2003,"rock, blues",3.87,3,0.741,0.313
Youngbloodz,Damn! (feat. Lil' Jon) - Club Mix,2003,"hip hop, pop",4.98,54,0.772,0.518
Beyoncé,Baby Boy (feat. Sean Paul),2003,"pop, R&B",4.08,63,0.655,0.791
Lil' Kim,Magic Stick,2019,"hip hop, pop, R&B",6.0,47,0.849,0.502
Christina Aguilera,Can't Hold Us Down (feat. Lil' Kim),2002,pop,4.25,61,0.859,0.538
Nickelback,Someday,2003,"rock, metal",3.46,68,0.455,0.597
Blue,U Make Me Wanna - Radio Edit,2003,pop,3.71,48,0.6,0.848
Ashanti,Rain On Me,2003,"hip hop, pop, R&B",4.97,50,0.606,0.509
Trapt,Headstrong,2002,"rock, metal",4.76,72,0.492,0.534
Simply Red,Sunrise,2008,"rock, R&B, Folk/Acoustic, pop",3.32,58,0.791,0.917
Lumidee,"Never Leave You (Uh Oooh, Uh Oooh)",2003,"pop, R&B",3.08,61,0.811,0.777
Girls Aloud,Sound Of The Underground,2003,"pop, Dance/Electronic",3.69,58,0.568,0.88
Nelly,Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster,2016,"hip hop, pop, R&B",4.89,52,0.527,0.907
Room 5,Make Luv,2003,Dance/Electronic,3.54,57,0.883,0.648
Fatman Scoop,Be Faithful,2009,hip hop,2.74,49,0.649,0.629
Limp Bizkit,Behind Blue Eyes,2003,metal,4.5,70,0.595,0.0902
Sugababes,Too Lost In You,2003,"pop, R&B",3.96,58,0.586,0.459
50 Cent,"Wanksta - From ""8 Mile"" Soundtrack",2003,"hip hop, pop",3.66,57,0.802,0.873
Pharrell Williams,Frontin' (feat. Jay-Z) - Club Mix,2003,"hip hop, pop",3.94,67,0.894,0.759
Chingy,Right Thurr,2003,"hip hop, pop, R&B",4.18,69,0.866,0.891
Eminem,Sing For The Moment,2002,hip hop,5.66,71,0.668,0.185
Lil' Kim,The Jump Off (feat. Mr. Cheeks) - Remix,2003,"hip hop, pop, R&B",3.91,48,0.853,0.935
Mýa,My Love Is Like...Wo - Main Mix,2003,"pop, R&B",3.49,48,0.831,0.722
50 Cent,21 Questions,2003,"hip hop, pop",3.74,72,0.646,0.895
Nelly,Air Force Ones,2002,"hip hop, pop, R&B",5.07,61,0.784,0.618
Missy Elliott,Gossip Folks (feat. Ludacris),2002,"hip hop, pop, R&B",3.91,57,0.707,0.439
Girls Aloud,Jump,2003,"pop, Dance/Electronic",3.67,60,0.658,0.795
Ultrabeat,Pretty Green Eyes - Radio Edit,2003,"pop, Dance/Electronic",3.37,59,0.553,0.51
Christina Aguilera,Fighter,2002,pop,4.1,67,0.435,0.45
Frankie J,Don't Wanna Try,2003,"hip hop, pop, R&B",4.09,49,0.655,0.199
Snoop Dogg,Beautiful,2005,"hip hop, pop",4.99,67,0.893,0.963
Floetry,Say Yes,2002,"hip hop, pop, R&B",4.47,57,0.747,0.428
Ginuwine,In Those Jeans,2003,"hip hop, pop, R&B",4.06,59,0.691,0.319
Electric Six,Danger! High Voltage - Soulchild Radio Mix,2003,rock,3.58,0,0.66,0.511
Rachel Stevens,Sweet Dreams My LA Ex - Radio Edit,2003,"pop, Dance/Electronic",3.47,38,0.85,0.908
Ludacris,Stand Up,2003,"hip hop, pop",3.56,57,0.751,0.801
Nas,I Can,2002,hip hop,4.23,58,0.837,0.694
